interaction_id,age,job,marital,education,default,housing,loan,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,reward,arm,previously_contacted,pdays_since_previous,age_group
0,56,housemaid,married,basic.4y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
1,57,services,married,high.school,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
2,37,services,married,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
3,40,admin.,married,basic.6y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
4,56,services,married,high.school,no,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
5,45,services,married,basic.9y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
6,59,admin.,married,professional.course,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
7,41,blue-collar,married,unknown,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
8,24,technician,single,professional.course,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
9,25,services,single,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
10,41,blue-collar,married,unknown,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
11,25,services,single,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
